Code,Release Date,Title,,Domestic Gross,,Runtime,Genre,,,,,,,,,,,
5866,26-Aug-11,Brighton Rock,,230000,,111,Crime,,,,,,,,,,,
6368,31-Oct-14,Nightcrawler,,32400000,,117,Crime,,,,,,,,,,,
6369,17-Nov-17,"Roman J. Israel, Esq.",,12000000,,122,Crime,,,,,,,,,,,
6439,30-Mar-12,Intruders,,69100,,90,Crime,,,,,,,,,,,
5896,2-Dec-16,A War,,123000,,115,Crime,,,,,,,,,,,
5856,17-Apr-15,Monkey Kingdom,,16399999,,81,Documentary,,,,,,,,,,,
5894,29-Apr-16,A Beautiful Planet,,15500000,,46,Documentary,,,,,,,,,,,
5924,14-May-10,Sea Rex 3D: Journey to a Prehistoric World,,6100000,,41,Documentary,,,,,,,,,,,
5966,27-Jun-11,Gone,,11700000,,85,Documentary,,,,,,,,,,,
6067,15-Sep-11,El Bulli: Cooking in Progress,,237000,,108,Documentary,,,,,,,,,,,
6088,30-Sep-11,50/50,,35000000,,77,Documentary,,,,,,,,,,,
6108,27-Jul-12,Ai Weiwei: Never Sorry,,534000,,91,Documentary,,,,,,,,,,,
6134,8-Mar-12,You've Been Trumped,,29300,,79,Documentary,,,,,,,,,,,
6425,9-Jan-17,Mountain,,365000,,74,Documentary,,,,,,,,,,,
6432,31-Jul-14,That Sugar Film,,3500,,90,Documentary,,,,,,,,,,,
6433,9-Sep-15,Welcome to Leith,,36000,,85,Documentary,,,,,,,,,,,
6445,7-Oct-15,Do I Sound Gay?,,119000,,77,Documentary,,,,,,,,,,,
6478,14-Apr-16,Magnus,,8900,,78,Documentary,,,,,,,,,,,
6500,10-Jul-11,The Way,,4400000,,85,Documentary,,,,,,,,,,,
6516,23-Nov-11,Hugo,,73900000,,80,Documentary,,,,,,,,,,,
6371,21-Aug-14,"20,000 Days on Earth",,280000,,97,Documentary,,,,,,,,,,,
6502,10-Jun-17,Earth: One Amazing Day,,81300,,95,Documentary,,,,,,,,,,,
5791,22-Aug-12,Samsara,,2700000,,102,Documentary,,,,,,,,,,,
6072,4-Jun-18,Lean on Pete,,1200000,,121,Drama,,,,,,,,,,,
6424,30-Sep-16,American Honey,,663000,,163,Drama,,,,,,,,,,,
